,place_name,place_link,place_page
314,현진건 집터,https://place.map.kakao.com/8161370,none
315,한성도서주식회사터,https://place.map.kakao.com/1148851345,none
316,서울천주교순례길 말씀의길,https://place.map.kakao.com/26564597,none
317,국립민속박물관 오촌댁,https://place.map.kakao.com/26988653,http://www.nfm.go.kr/
318,삼일독립선언유적지,https://place.map.kakao.com/25028659,none
319,서울대학교병원 세종대왕동상,https://place.map.kakao.com/17572071,none
320,한글가온길,https://place.map.kakao.com/25538690,none
321,어니스트베델의 집터,https://place.map.kakao.com/7887248,none
322,순화궁터,https://place.map.kakao.com/1088607792,none
323,동네골목길관광코스 5코스(평창동),https://place.map.kakao.com/26558542,none
324,창덕궁 연경당,https://place.map.kakao.com/17808105,https://www.cdg.go.kr/main/main.htm
325,이상재선생동상,https://place.map.kakao.com/1151517532,none
326,경희궁 숭정전,https://place.map.kakao.com/12735945,none
327,이율곡선생살던집터,https://place.map.kakao.com/11300694,none
328,태화궁 터,https://place.map.kakao.com/799986961,none
329,동네골목길관광코스 문학둘레길,https://place.map.kakao.com/26563922,none
330,세종대왕나신곳 표지석,https://place.map.kakao.com/731857721,none
331,궁중문화축전,https://place.map.kakao.com/699964074,http://www.royalculturefestival.org/
332,여운형집터,https://place.map.kakao.com/25038303,none
333,대통령관저 청안당,https://place.map.kakao.com/1828190149,none
334,경희궁지,https://place.map.kakao.com/8199791,"https://www.cha.go.kr/korea/heritage/search/Culresult_Db_View.jsp?VdkVgwKey=13,02710000,11"
335,종묘 북신문,https://place.map.kakao.com/370224713,none
336,국립민속박물관 효자각,https://place.map.kakao.com/26988639,http://www.nfm.go.kr/
337,송진우집터,https://place.map.kakao.com/1173569160,none
338,6.10독립만세선창터,https://place.map.kakao.com/1130724381,none
339,부용지,https://place.map.kakao.com/7907048,none
340,clayu,https://place.map.kakao.com/26572390,none
341,서북학회터,https://place.map.kakao.com/1159842610,none
342,자생식물학습장,https://place.map.kakao.com/8059682,none
343,탕춘대터,https://place.map.kakao.com/779889177,none
344,박인환집터,https://place.map.kakao.com/897870584,none
345,김상용집터,https://place.map.kakao.com/8231260,none
346,소파방정환선생 생가터,https://place.map.kakao.com/27305894,none
347,옥호정 터,https://place.map.kakao.com/1076468577,none
348,제중원 터,https://place.map.kakao.com/779279564,none
349,원서동백홍범가옥,https://place.map.kakao.com/8034745,none
350,세창서관 터,https://place.map.kakao.com/780995061,none
351,운니동김승현가,https://place.map.kakao.com/12765605,none
352,초교터,https://place.map.kakao.com/765440108,none
353,서울재동백송,https://place.map.kakao.com/12721192,"https://www.heritage.go.kr/heri/cul/culSelectDetail.do?VdkVgwKey=16,00080000,11&pageNo=1_1_1_0"
354,인평대군집터,https://place.map.kakao.com/809504847,none
355,경복궁 용성문,https://place.map.kakao.com/26974304,none
356,경기감영터,https://place.map.kakao.com/774669910,none
357,곡장안내소,https://place.map.kakao.com/2014116510,none
358,손병희선생집터,https://place.map.kakao.com/852965854,none
359,법흥사 터,https://place.map.kakao.com/760726966,none
360,창덕궁 단봉문,https://place.map.kakao.com/8206208,none
361,서울경모궁지,https://place.map.kakao.com/12776869,none
362,운현궁 이로당,https://place.map.kakao.com/8040331,none
363,종로국제서당,https://place.map.kakao.com/668190601,none
